fecha,ticker_yahoo,empresa,precio_cierre,volumen,sma_50,sma_200
2021-12-16,COL.MC,Inmobiliaria Colonial,6.647,540372,6.890408,7.13078141
2021-12-17,COL.MC,Inmobiliaria Colonial,6.697,2201532,6.885488,7.1286125
2021-12-20,COL.MC,Inmobiliaria Colonial,6.5719,944680,6.877648,7.1280085
2021-12-21,COL.MC,Inmobiliaria Colonial,6.7095,330495,6.871976,7.127991
2021-12-22,COL.MC,Inmobiliaria Colonial,6.7471,251342,6.867724,7.127775
2021-12-23,COL.MC,Inmobiliaria Colonial,6.7762,234610,6.862302,7.1279685
2021-12-27,COL.MC,Inmobiliaria Colonial,6.7971,301549,6.856632,7.128633
2021-12-28,COL.MC,Inmobiliaria Colonial,6.8388,242663,6.852962,7.129526
2021-12-29,COL.MC,Inmobiliaria Colonial,6.8305,228639,6.848794,7.1315375
2021-12-30,COL.MC,Inmobiliaria Colonial,6.8805,379839,6.847626,7.1333105
2021-12-31,COL.MC,Inmobiliaria Colonial,6.8805,379839,6.846292,7.134351
2022-01-03,COL.MC,Inmobiliaria Colonial,6.943,622039,6.846458,7.1357855
2022-01-04,COL.MC,Inmobiliaria Colonial,7.0306,605033,6.84946,7.1375155
2022-01-05,COL.MC,Inmobiliaria Colonial,7.0139,623772,6.84996,7.1389585
2022-01-06,COL.MC,Inmobiliaria Colonial,7.0098,586524,6.84871,7.1397915
2022-01-07,COL.MC,Inmobiliaria Colonial,6.893,511685,6.843456,7.140671
2022-01-10,COL.MC,Inmobiliaria Colonial,6.9347,834175,6.841872,7.1416775
2022-01-11,COL.MC,Inmobiliaria Colonial,6.9931,594421,6.843124,7.142976
2022-01-12,COL.MC,Inmobiliaria Colonial,6.9597,469469,6.844708,7.1439855
2022-01-13,COL.MC,Inmobiliaria Colonial,6.9556,343601,6.846126,7.144995
2022-01-14,COL.MC,Inmobiliaria Colonial,6.9305,499906,6.843124,7.146062
2022-01-17,COL.MC,Inmobiliaria Colonial,6.8888,644092,6.836202,7.147083
2022-01-18,COL.MC,Inmobiliaria Colonial,6.8179,658152,6.82953,7.148014
2022-01-19,COL.MC,Inmobiliaria Colonial,6.8263,683661,6.823108,7.1487225
2022-01-20,COL.MC,Inmobiliaria Colonial,6.7929,559626,6.817186,7.1490405
2022-01-21,COL.MC,Inmobiliaria Colonial,6.6887,606998,6.810598,7.1492645
2022-01-24,COL.MC,Inmobiliaria Colonial,6.426,848249,6.797756,7.148175
2022-01-25,COL.MC,Inmobiliaria Colonial,6.4218,4242569,6.783078,7.146495
2022-01-26,COL.MC,Inmobiliaria Colonial,6.5219,486689,6.770486,7.1449695
2022-01-27,COL.MC,Inmobiliaria Colonial,6.5427,523735,6.762146,7.1439145
2022-01-28,COL.MC,Inmobiliaria Colonial,6.5219,496146,6.755308,7.14245
2022-01-31,COL.MC,Inmobiliaria Colonial,6.5386,725262,6.751472,7.1414355
2022-02-01,COL.MC,Inmobiliaria Colonial,6.5094,446957,6.746636,7.1395425
2022-02-02,COL.MC,Inmobiliaria Colonial,6.5052,1038456,6.740298,7.1375675
2022-02-03,COL.MC,Inmobiliaria Colonial,6.4093,473391,6.728872,7.135357
2022-02-04,COL.MC,Inmobiliaria Colonial,6.1716,601116,6.71044,7.1316325
2022-02-07,COL.MC,Inmobiliaria Colonial,6.0632,765298,6.695512,7.1276305
2022-02-08,COL.MC,Inmobiliaria Colonial,6.0882,475821,6.680084,7.1236315
2022-02-09,COL.MC,Inmobiliaria Colonial,6.2508,681953,6.67166,7.119408
