Activo_1,Activo_2,Correlacion,Sector_Activo_1,Sector_Activo_2
Laboratorios Rovi,Aena,0.11585492313506351,Productos Farmacéuticos Y Biotecnología,Transporte Y Distribución
Logista,Aena,0.28527741746317303,Transporte Y Distribución,Transporte Y Distribución
MAPFRE,Aena,0.3740603972067911,Seguros,Transporte Y Distribución
Meliá Hotels International,Aena,0.47380707862187954,"Ocio, Turismo Y Hostelería",Transporte Y Distribución
Merlin Properties,Aena,0.39475502768256443,Socimi,Transporte Y Distribución
Naturgy,Aena,0.2666982679491537,Electricidad Y Gas,Transporte Y Distribución
Redeia,Aena,0.24741086376082347,Electricidad Y Gas,Transporte Y Distribución
Repsol,Aena,0.14905449835081802,Petróleo,Transporte Y Distribución
Sacyr,Aena,0.46711007175972796,Construcción,Transporte Y Distribución
Santander,Aena,0.3827269988845219,Bancos Y Cajas De Ahorro,Transporte Y Distribución
Solaria,Aena,0.18365696382347838,Energías Renovables,Transporte Y Distribución
Telefónica,Aena,0.2607942221470726,Telecomunicaciones Y Otros,Transporte Y Distribución
Unicaja,Aena,0.29940013211016364,Bancos Y Cajas De Ahorro,Transporte Y Distribución
ACS,Amadeus IT Group,0.3998044367082413,Construcción,Electrónica Y Software
Acciona,Amadeus IT Group,0.2666321217531653,Construcción,Electrónica Y Software
Acciona Energía,Amadeus IT Group,0.23051097401031917,Energías Renovables,Electrónica Y Software
Acerinox,Amadeus IT Group,0.36916088645063566,"Mineral, Metales Y Transformación",Electrónica Y Software
Aena,Amadeus IT Group,0.5010390721199109,Transporte Y Distribución,Electrónica Y Software
ArcelorMittal,Amadeus IT Group,0.32544093786743106,"Mineral, Metales Y Transformación",Electrónica Y Software
BBVA,Amadeus IT Group,0.3864565247425749,Bancos Y Cajas De Ahorro,Electrónica Y Software
Banco Sabadell,Amadeus IT Group,0.3255253211893832,Bancos Y Cajas De Ahorro,Electrónica Y Software
Bankinter,Amadeus IT Group,0.32161707753909924,Bancos Y Cajas De Ahorro,Electrónica Y Software
CaixaBank,Amadeus IT Group,0.3221629181152948,Bancos Y Cajas De Ahorro,Electrónica Y Software
Cellnex Telecom,Amadeus IT Group,0.2605639422450203,Telecomunicaciones Y Otros,Electrónica Y Software
Enagás,Amadeus IT Group,0.14015585740138017,Electricidad Y Gas,Electrónica Y Software
Endesa,Amadeus IT Group,0.22830120585113928,Electricidad Y Gas,Electrónica Y Software
Ferrovial,Amadeus IT Group,0.47348992395354494,Construcción,Electrónica Y Software
Fluidra,Amadeus IT Group,0.33913925029279013,Ingeniería Y Otros,Electrónica Y Software
Grifols,Amadeus IT Group,0.28197165991536427,Productos Farmacéuticos Y Biotecnología,Electrónica Y Software
Iberdrola,Amadeus IT Group,0.27628744137541555,Electricidad Y Gas,Electrónica Y Software
