Activo_1,Activo_2,Correlacion,Sector_Activo_1,Sector_Activo_2
Iberdrola,Aena,0.3078182939016878,Electricidad Y Gas,Transporte Y Distribución
Inditex,Aena,0.39556804838875326,"Textil, Vestido Y Calzado",Transporte Y Distribución
Indra,Aena,0.24252572558085297,Electrónica Y Software,Transporte Y Distribución
Inmobiliaria Colonial,Aena,0.3996435463191407,Socimi,Transporte Y Distribución
International Airlines Group,Aena,0.5396522900692021,Transporte Y Distribución,Transporte Y Distribución
Laboratorios Rovi,Aena,0.11587944738373351,Productos Farmacéuticos Y Biotecnología,Transporte Y Distribución
Logista,Aena,0.285756271214014,Transporte Y Distribución,Transporte Y Distribución
MAPFRE,Aena,0.37346661357515926,Seguros,Transporte Y Distribución
Meliá Hotels International,Aena,0.4749982814759259,"Ocio, Turismo Y Hostelería",Transporte Y Distribución
Merlin Properties,Aena,0.39426779312677457,Socimi,Transporte Y Distribución
Naturgy,Aena,0.2670020193932614,Electricidad Y Gas,Transporte Y Distribución
Redeia,Aena,0.24746517380750527,Electricidad Y Gas,Transporte Y Distribución
Repsol,Aena,0.15005098385048624,Petróleo,Transporte Y Distribución
Sacyr,Aena,0.4668667908567726,Construcción,Transporte Y Distribución
Santander,Aena,0.381968811227046,Bancos Y Cajas De Ahorro,Transporte Y Distribución
Solaria,Aena,0.18353571834237375,Energías Renovables,Transporte Y Distribución
Telefónica,Aena,0.26113338392874674,Telecomunicaciones Y Otros,Transporte Y Distribución
Unicaja,Aena,0.29859097088978187,Bancos Y Cajas De Ahorro,Transporte Y Distribución
ACS,Amadeus IT Group,0.3992166849462551,Construcción,Electrónica Y Software
Acciona,Amadeus IT Group,0.2662493426408046,Construcción,Electrónica Y Software
Acciona Energía,Amadeus IT Group,0.23085152726346275,Energías Renovables,Electrónica Y Software
Acerinox,Amadeus IT Group,0.3685679291540675,"Mineral, Metales Y Transformación",Electrónica Y Software
Aena,Amadeus IT Group,0.5008549494792379,Transporte Y Distribución,Electrónica Y Software
ArcelorMittal,Amadeus IT Group,0.324308771263349,"Mineral, Metales Y Transformación",Electrónica Y Software
BBVA,Amadeus IT Group,0.38527724983680794,Bancos Y Cajas De Ahorro,Electrónica Y Software
Banco Sabadell,Amadeus IT Group,0.324435988664536,Bancos Y Cajas De Ahorro,Electrónica Y Software
Bankinter,Amadeus IT Group,0.32049388356045966,Bancos Y Cajas De Ahorro,Electrónica Y Software
CaixaBank,Amadeus IT Group,0.32112320837225244,Bancos Y Cajas De Ahorro,Electrónica Y Software
Cellnex Telecom,Amadeus IT Group,0.2598228432367755,Telecomunicaciones Y Otros,Electrónica Y Software
Enagás,Amadeus IT Group,0.14114933311837805,Electricidad Y Gas,Electrónica Y Software
Endesa,Amadeus IT Group,0.2294950164872348,Electricidad Y Gas,Electrónica Y Software
Ferrovial,Amadeus IT Group,0.47300510081620417,Construcción,Electrónica Y Software
Fluidra,Amadeus IT Group,0.33925143285025455,Ingeniería Y Otros,Electrónica Y Software
Grifols,Amadeus IT Group,0.28158905791982025,Productos Farmacéuticos Y Biotecnología,Electrónica Y Software
Iberdrola,Amadeus IT Group,0.27767469369975856,Electricidad Y Gas,Electrónica Y Software
Inditex,Amadeus IT Group,0.4515640404307785,"Textil, Vestido Y Calzado",Electrónica Y Software
Indra,Amadeus IT Group,0.31754163929773177,Electrónica Y Software,Electrónica Y Software
Inmobiliaria Colonial,Amadeus IT Group,0.4248006245934028,Socimi,Electrónica Y Software
International Airlines Group,Amadeus IT Group,0.558942420897344,Transporte Y Distribución,Electrónica Y Software
Laboratorios Rovi,Amadeus IT Group,0.17885498641728323,Productos Farmacéuticos Y Biotecnología,Electrónica Y Software
Logista,Amadeus IT Group,0.2776549524737784,Transporte Y Distribución,Electrónica Y Software
MAPFRE,Amadeus IT Group,0.3090542634245597,Seguros,Electrónica Y Software
Meliá Hotels International,Amadeus IT Group,0.6101988003749957,"Ocio, Turismo Y Hostelería",Electrónica Y Software
Merlin Properties,Amadeus IT Group,0.4357317547828195,Socimi,Electrónica Y Software
Naturgy,Amadeus IT Group,0.21949221084524795,Electricidad Y Gas,Electrónica Y Software
Redeia,Amadeus IT Group,0.11864907542368576,Electricidad Y Gas,Electrónica Y Software
Repsol,Amadeus IT Group,0.17555622553079864,Petróleo,Electrónica Y Software
Sacyr,Amadeus IT Group,0.41719063017052194,Construcción,Electrónica Y Software
Santander,Amadeus IT Group,0.42528215308385436,Bancos Y Cajas De Ahorro,Electrónica Y Software
Solaria,Amadeus IT Group,0.1946394812310315,Energías Renovables,Electrónica Y Software
Telefónica,Amadeus IT Group,0.19139132340876155,Telecomunicaciones Y Otros,Electrónica Y Software
